지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
129,서산,2018,12.2,-15.9,20180127,37.1,20180801,7.4,17.6
129,서산,2019,12.7,-10.9,20190109,36.3,20190810,7.6,18.3
129,서산,2020,12.6,-10.5,20201231,34.9,20200825,8,18
130,울진,2017,13.2,-9,20171212,37.1,20170721,8.8,18
130,울진,2018,13,-13.3,20180126,36.6,20180804,8.6,17.8
130,울진,2019,13.9,-5.4,20190116,35.8,20190801,9.6,18.7
130,울진,2020,13.4,-11,20201231,35,20200814,9.1,18
131,청주,2017,13.4,-11.1,20170124,36.7,20170805,8.9,18.7
131,청주,2018,13.5,-15.8,20180127,39.1,20180815,9.1,18.7
131,청주,2019,14.2,-8.6,20190109,36.7,20190803,9.7,19.3
131,청주,2020,13.9,-13.7,20201231,36,20200825,9.7,18.9
133,대전,2017,13.4,-11.8,20170115,35.9,20170805,8.5,18.9
133,대전,2018,13.5,-16.3,20180125,39.4,20180815,8.8,19
133,대전,2019,14,-9.6,20191206,36,20190805,9.2,19.5
133,대전,2020,13.7,-13.2,20201231,35.4,20200825,9.2,19.2
135,추풍령,2017,11.9,-12.1,20171214,34.6,20170806,6.6,17.7
135,추풍령,2018,11.9,-15.9,20180126,36.7,20180815,6.5,17.5
135,추풍령,2019,12.4,-11.2,20190109,33.8,20190804,7.1,17.9
135,추풍령,2020,12,-13.5,20201231,33.6,20200609,7.1,17.4
136,안동,2017,12.6,-14.5,20170125,36.6,20170806,7,19
136,안동,2018,12.7,-18.2,20180127,38.9,20180727,7.3,18.9
136,안동,2019,12.9,-11.6,20190127,36.9,20190805,7.4,18.9
136,안동,2020,12.6,-14.7,20201217,35.7,20200609,7.3,18.6
137,상주,2017,13.3,-11.2,20171214,36.6,20170623,8.2,19.3
137,상주,2018,13.1,-14.9,20180125,38.5,20180815,8,19.1
137,상주,2019,13.4,-8.7,20190109,35.2,20190805,8.3,19.2
137,상주,2020,13.1,-13,20201231,35,20200609,8.2,18.8
138,포항,2017,15,-8,20171212,38.6,20170713,11.1,19.4
138,포항,2018,14.8,-12.9,20180126,39.4,20180804,11.1,19
138,포항,2019,15.5,-5.1,20190116,36.5,20190731,11.8,19.8
138,포항,2020,15.1,-10.1,20201231,36.9,20200819,11.4,19.4
140,군산,2017,13.1,-10,20171214,36.2,20170805,8.8,18.2
140,군산,2018,13.2,-15,20180127,37.1,20180802,9,18.1
140,군산,2019,13.5,-8.1,20190116,34.9,20190810,9.3,18.4
140,군산,2020,13.4,-10.6,20201231,34.7,20200825,9.4,18.2
143,대구,2017,14.4,-10.2,20171214,38.4,20170722,9.3,20.1
143,대구,2018,14.1,-13.9,20180127,39.2,20180727,9.2,19.6
143,대구,2019,14.8,-7.2,20190127,36.9,20190802,9.9,20.3
143,대구,2020,14.5,-10.3,20201231,37,20200609,9.8,20
146,전주,2017,13.6,-9.7,20170115,35.1,20170805,9.2,19
146,전주,2018,13.9,-15,20180127,38.9,20180813,9.5,19.3
146,전주,2019,14.2,-7.5,20191206,35.1,20190814,9.7,19.5
146,전주,2020,14,-10,20201231,35.1,20200609,9.7,19.2
152,울산,2017,14.5,-8.7,20170115,36.1,20170721,10.1,19.4
152,울산,2018,14.3,-12.4,20180126,37.3,20180805,10.2,19
152,울산,2019,14.9,-5.3,20190116,35,20190802,10.7,19.7
152,울산,2020,14.6,-8.9,20201231,35.5,20200815,10.6,19.3
155,창원,2017,14.8,-8.4,20170115,38.5,20170807,10.5,20
155,창원,2018,14.2,-12,20180126,37,20180805,10.1,19.1
155,창원,2019,14.6,-5.9,20190116,35.6,20190813,10.5,19.7
155,창원,2020,14.4,-9.8,20201231,35.8,20200820,10.5,19.3
156,광주,2017,14.6,-7.9,20170115,37.3,20170806,10.2,20.1
156,광주,2018,14.6,-11.5,20180127,38.5,20180815,10.3,20.1
156,광주,2019,14.7,-5.9,20190116,34.8,20190804,10.5,20
156,광주,2020,14.5,-8.9,20201231,34.4,20200819,10.5,19.6
159,부산,2017,15.2,-7.7,20170115,36.2,20170806,11.7,19.6
159,부산,2018,15.1,-9.9,20180126,36.4,20180805,11.8,19.2
159,부산,2019,15.7,-4.4,20190116,35,20190813,12.5,19.8
159,부산,2020,15.2,-8,20201231,33.2,20200820,11.9,19.4
162,통영,2017,14.9,-7.3,20170115,36.3,20170806,11.1,19.4
162,통영,2018,14.8,-9,20180126,36.9,20180729,11.2,19.2
162,통영,2019,15.3,-4.2,20190116,35.9,20190814,11.6,19.8
162,통영,2020,15,-6.7,20201231,35,20200825,11.5,19.3
165,목포,2017,14.3,-6.5,20170115,34.5,20170805,10.8,18.5
165,목포,2018,14.4,-11.3,20180124,36.7,20180802,11.1,18.4
165,목포,2019,14.3,-4.1,20191206,33.8,20190808,11.1,18.2
165,목포,2020,14,-7.5,20201231,33.3,20200824,11,17.5
168,여수,2017,15,-6.8,20170115,35.9,20170807,11.9,18.8
168,여수,2018,14.9,-10.3,20180126,35,20180729,12,18.4
168,여수,2019,15.4,-4.8,20190116,33.9,20190813,12.5,19
168,여수,2020,15.1,-7,20201231,32.6,20200817,12.2,18.6
169,흑산도,2017,13.5,-2.7,20170210,33.7,20170805,10.8,17.2
169,흑산도,2018,13.8,-6.7,20180124,34.9,20180815,11.4,17.2
169,흑산도,2019,14.1,-1.2,20190208,29.9,20190803,11.7,17.4
