지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
289,산청,2019,13.7,-9.6,20190127,36.4,20190802,8.3,20.2
289,산청,2020,13.3,-9.5,20200206,36.2,20200819,8.3,19.3
294,거제,2017,15.2,-6.8,20170115,37,20170807,11,20.2
294,거제,2018,15,-8.3,20180126,37.8,20180726,11,19.8
294,거제,2019,15.6,-3.4,20190127,35.8,20190802,11.5,20.5
294,거제,2020,14.7,-5.9,20201231,34.5,20200820,11.1,19.1
295,남해,2017,14.9,-9.1,20170115,36.9,20170807,10.4,20.2
295,남해,2018,14.6,-9.9,20180126,36.8,20180727,10.3,19.7
295,남해,2019,15.2,-5.4,20190116,35.2,20190813,10.9,20.3
295,남해,2020,14.6,-7.4,20201231,34.6,20200820,10.6,19.4
