,sum
1Q2017,190760333333.33334
2Q2017,561186333333.3334
3Q2017,900556000000.0
4Q2017,895813000000.0
1Q2018,726995000000.0
2Q2018,532404333333.3334
3Q2018,592109666666.6666
4Q2018,562708666666.6666
1Q2019,323924000000.0
2Q2019,340270666666.6667
3Q2019,312343333333.3333
4Q2019,439120000000.0
1Q2020,1048860333333.3333
2Q2020,887508333333.3333
3Q2020,1356090333333.3335
4Q2020,1161611000000.0
1Q2021,974276000000.0
2Q2021,896465666666.6667
3Q2021,897483000000.0
